title,author,genre,price,quantity
Ikigai,James Clear,Fantasy,603.0,86
The Power of Habit,Charles Duhigg,Finance,238.0,13
Rich Dad Poor Dad,Cal Newport,Self-help,570.0,34
The Power of Habit,James Clear,Dystopian,674.0,81
Rich Dad Poor Dad,Cal Newport,Business,495.0,85
Rich Dad Poor Dad,Napoleon Hill,Finance,452.0,98
Think and Grow Rich,Yuval Noah Harari,Finance,509.0,38
Sapiens,Hector Garcia,Business,287.0,97
Zero to One,Yuval Noah Harari,Fiction,443.0,29
1984,Paulo Coelho,Dystopian,770.0,35
The Great Gatsby,F. Scott Fitzgerald,Philosophy,190.0,32
The Alchemist,J.K. Rowling,Finance,612.0,49
The Alchemist,J.K. Rowling,Self-help,362.0,58
Think and Grow Rich,Charles Duhigg,Dystopian,596.0,78
Start With Why,Morgan Housel,Business,269.0,25
Start With Why,Peter Thiel,Finance,218.0,95
Think and Grow Rich,J.K. Rowling,Fiction,283.0,40
The Psychology of Money,Simon Sinek,Classic,733.0,80
Start With Why,Peter Thiel,Business,750.0,75
The Power of Habit,J.K. Rowling,Self-help,254.0,78
The Power of Habit,James Clear,Philosophy,465.0,41
The Hobbit,Simon Sinek,Fantasy,491.0,68
Ikigai,F. Scott Fitzgerald,Self-help,601.0,80
Rich Dad Poor Dad,Simon Sinek,Fantasy,472.0,71
Rich Dad Poor Dad,F. Scott Fitzgerald,Fiction,160.0,85
Harry Potter,James Clear,Classic,4.0,0
Atomic Habits,James Clear,Philosophy,551.0,78
1984,F. Scott Fitzgerald,Business,202.0,90
Deep Work,Simon Sinek,Self-help,6000.0,39
Sapiens,Yuval Noah Harari,Classic,210.0,38
The Alchemist,Morgan Housel,Fantasy,245.0,43
Deep Work,Paulo Coelho,Business,6000.0,97
1984,F. Scott Fitzgerald,Self-help,305.0,64
Sapiens,James Clear,Business,561.0,30
The Psychology of Money,Simon Sinek,Fantasy,211.0,36
The Power of Habit,James Clear,Business,351.0,73
Ikigai,Yuval Noah Harari,Dystopian,325.0,71
Zero to One,Peter Thiel,Business,328.0,91
Atomic Habits,Robert Kiyosaki,Business,166.0,69
Deep Work,Cal Newport,Philosophy,6000.0,92
Rich Dad Poor Dad,Morgan Housel,Business,208.0,40
Rich Dad Poor Dad,Cal Newport,Dystopian,227.0,79
Deep Work,Charles Duhigg,Classic,6000.0,31
Deep Work,F. Scott Fitzgerald,Philosophy,6000.0,22
The Power of Habit,J.R.R. Tolkien,Self-help,186.0,57
Atomic Habits,F. Scott Fitzgerald,Self-help,444.0,23
Sapiens,J.K. Rowling,Self-help,578.0,78
Atomic Habits,Yuval Noah Harari,Self-help,444.0,36
Rich Dad Poor Dad,Charles Duhigg,Philosophy,405.0,86
Think and Grow Rich,Yuval Noah Harari,Fantasy,399.0,90
Start With Why,J.K. Rowling,Dystopian,292.0,80
Zero to One,Peter Thiel,Fiction,341.0,8
The Psychology of Money,James Clear,Self-help,636.0,74
Deep Work,Hector Garcia,Fantasy,6000.0,75
Start With Why,Peter Thiel,Business,492.0,57
Harry Potter,J.K. Rowling,Classic,4.0,0
The Great Gatsby,Simon Sinek,Business,187.0,62
Rich Dad Poor Dad,Yuval Noah Harari,Philosophy,289.0,28
Rich Dad Poor Dad,Napoleon Hill,Fant2asy,676.0,89
The Great Gatsby,Napoleon Hill,Dystopian,608.0,76
Deep Work,Simon Sinek,Classic,6000.0,10
Sapiens,Morgan Housel,Finance,655.0,82
The Great Gatsby,Charles Duhigg,Finance,428.0,19
Start With Why,J.R.R. Tolkien,Self-help,671.0,23
Zero to One,James Clear,Philosophy,430.0,94
The Alchemist,Hector Garcia,Self-help,534.0,14
Harry Potter,Yuval Noah Harari,Fiction,4.0,0
1984,James Clear,Philosophy,509.0,73
Start With Why,Simon Sinek,Finance,475.0,12
Deep Work,Robert Kiyosaki,Business,6000.0,49
abc,xyz,ggg,12.0,34
